"id","stationId","timestamp","confidence","probability","score","certainty","algorithm","metadata","lat","lon","favorite","species.id","species.commonName","species.scientificName","species.color","species.classification","species.imageUrl","species.thumbnailUrl","species.pngUrl","species.thumbhash","soundscape.id","soundscape.url","soundscape.startTime","soundscape.endTime","soundscape.mode"
6174878917,6891,"2026-03-19T00:57:22.000+01:00",0.71,0.914061665534973,9.08354917954765,"almost_certain","2p4",NA,51.5646,6.0009,FALSE,130,"Mallard","Anas platyrhynchos","#aa005f","avian","https://media.birdweather.com/species/130/Mallard-standard-8bb254059bc38b8baec0bfe06b0534a8.jpg","https://media.birdweather.com/species/130/Mallard-thumbnail-f50dda443ef450d7f593f1005e99764d.jpg","https://media.birdweather.com/species/130/Mallard-png200-6aab5fe10bb64e2f6d0133a2372e7cb5.png","phgGDwK0mGdvh4iodZaJZ3hFyAfHW3AJ",9699416487,"https://media.birdweather.com/soundscapes/6891/6891-20260318-235722.flac",0,3,"birdnetpi"
6174862483,6891,"2026-03-19T00:55:56.000+01:00",0.77,0.914061665534973,9.27065766250553,"almost_certain","2p4",NA,51.5699,6.0083,FALSE,130,"Mallard","Anas platyrhynchos","#aa005f","avian","https://media.birdweather.com/species/130/Mallard-standard-8bb254059bc38b8baec0bfe06b0534a8.jpg","https://media.birdweather.com/species/130/Mallard-thumbnail-f50dda443ef450d7f593f1005e99764d.jpg","https://media.birdweather.com/species/130/Mallard-png200-6aab5fe10bb64e2f6d0133a2372e7cb5.png","phgGDwK0mGdvh4iodZaJZ3hFyAfHW3AJ",9699383133,"https://media.birdweather.com/soundscapes/6891/6891-20260318-235556.flac",0,3,"birdnetpi"
6173869529,6891,"2026-03-18T23:47:37.000+01:00",0.95,0.531245410442352,8.98204477794852,"almost_certain","2p4",NA,51.5657,6.0068,FALSE,100,"Canada Goose","Branta canadensis","#bc0071","avian","https://media.birdweather.com/species/100/CanadaGoose-standard-cd1617f2500d71d064f7cecf3e81c1b1.jpg","https://media.birdweather.com/species/100/CanadaGoose-thumbnail-bf828621d386d52d5de2a9a4f1f569d3.jpg","https://media.birdweather.com/species/100/CanadaGoose-png200-3936279a8c781e7905d152fc1a07fa5e.png","pKUFHwRw3GlXl6msRqSLhJl41mMHPYcA",9697777785,"https://media.birdweather.com/soundscapes/6891/6891-20260318-224737.flac",0,3,"birdnetpi"
6173374621,6891,"2026-03-18T23:17:25.000+01:00",1,0.140810832381248,7.3329229756635,"almost_certain","2p4",NA,51.5628,6.0035,FALSE,87,"Greater White-fronted Goose","Anser albifrons","#52ddb0","avian","https://media.birdweather.com/species/87/GreaterWhite-frontedGoose-standard-86685d8ce62f64de6b45d96269dc94a7.jpg","https://media.birdweather.com/species/87/GreaterWhite-frontedGoose-thumbnail-ddd5332925bbf51792063ce23342b10c.jpg","https://media.birdweather.com/species/87/GreaterWhite-frontedGoose-png200-26a9e9e98afb143b06ce267e8869dc60.png","XfkFFwKCaIlomIimd/l7lXeSTMz3FWAC",9697064120,"https://media.birdweather.com/soundscapes/6891/6891-20260318-221725.flac",0,3,"birdnetpi"
6172620048,6891,"2026-03-18T22:33:26.000+01:00",0.81,0.664418458938599,8.95110516418506,"almost_certain","2p4",NA,51.567,6.0046,FALSE,201,"Graylag Goose","Anser anser","#844800","avian","https://media.birdweather.com/species/201/GraylagGoose-standard-5235ddd797e4ea12096e170348c7ba78.jpg","https://media.birdweather.com/species/201/GraylagGoose-thumbnail-dcbb525def2966bd14949956147c5dba.jpg","https://media.birdweather.com/species/201/GraylagGoose-png200-40b0bbf2cd8e268c481e679711a36bb6.png","GtkFHwTASHhwaYe4ZomGWWSKiJ74ZlQA",9696028870,"https://media.birdweather.com/soundscapes/6891/6891-20260318-213326.flac",0,3,"birdnetpi"
6171511688,6891,"2026-03-18T21:29:45.000+01:00",0.92,0.595205068588257,9.07032986908623,"almost_certain","2p4",NA,51.5664,6.0022,FALSE,90,"Gray Heron","Ardea cinerea","#a70076","avian","https://media.birdweather.com/species/90/GrayHeron-standard-e3f0fccd9ae9722e5e8fbb19dbaf13d5.jpg","https://media.birdweather.com/species/90/GrayHeron-thumbnail-48938163008079f2a083eb422453fe97.jpg","https://media.birdweather.com/species/90/GrayHeron-png200-17ea141f1d862a12d8e4f1d98638157f.png","LOcJDwKIeId/h3iBh8eIR2iKpgfXaYAN",9694528610,"https://media.birdweather.com/soundscapes/6891/6891-20260318-202945.flac",0,3,"birdnetpi"
6170267930,6891,"2026-03-18T20:17:40.000+01:00",0.99,0.0117529509589076,4.66051110556795,"almost_certain","2p4",NA,51.5648,6.0048,FALSE,46,"Little Owl","Athene noctua","#b0ae00","avian","https://media.birdweather.com/species/46/LittleOwl-standard-f2cff2a2b2f38eb0d9b119ca1cb31433.jpg","https://media.birdweather.com/species/46/LittleOwl-thumbnail-dc4a3ab0d115888ba2e987e8e30a8fa3.jpg","https://media.birdweather.com/species/46/LittleOwl-png200-44c03d9b44930f908f8bdcad52112c56.png","YgkGFwL0XnOqRJabZGu2eXh3Z9+4h7AJ",9692829132,"https://media.birdweather.com/soundscapes/6891/6891-20260318-191740.flac",0,3,"birdnetpi"
6170260569,6891,"2026-03-18T20:17:10.000+01:00",0.99,0.0117529509589076,4.66051110556795,"almost_certain","2p4",NA,51.5662,6.0006,FALSE,46,"Little Owl","Athene noctua","#b0ae00","avian","https://media.birdweather.com/species/46/LittleOwl-standard-f2cff2a2b2f38eb0d9b119ca1cb31433.jpg","https://media.birdweather.com/species/46/LittleOwl-thumbnail-dc4a3ab0d115888ba2e987e8e30a8fa3.jpg","https://media.birdweather.com/species/46/LittleOwl-png200-44c03d9b44930f908f8bdcad52112c56.png","YgkGFwL0XnOqRJabZGu2eXh3Z9+4h7AJ",9692819018,"https://media.birdweather.com/soundscapes/6891/6891-20260318-191710.flac",0,3,"birdnetpi"
6170255620,6891,"2026-03-18T20:16:47.000+01:00",0.99,0.0117529509589076,4.66051110556795,"almost_certain","2p4",NA,51.5619,6.0053,FALSE,46,"Little Owl","Athene noctua","#b0ae00","avian","https://media.birdweather.com/species/46/LittleOwl-standard-f2cff2a2b2f38eb0d9b119ca1cb31433.jpg","https://media.birdweather.com/species/46/LittleOwl-thumbnail-dc4a3ab0d115888ba2e987e8e30a8fa3.jpg","https://media.birdweather.com/species/46/LittleOwl-png200-44c03d9b44930f908f8bdcad52112c56.png","YgkGFwL0XnOqRJabZGu2eXh3Z9+4h7AJ",9692812145,"https://media.birdweather.com/soundscapes/6891/6891-20260318-191647.flac",0,3,"birdnetpi"
6170247384,6891,"2026-03-18T20:16:19.000+01:00",0.99,0.0117529509589076,4.66051110556795,"almost_certain","2p4",NA,51.5625,6.0037,FALSE,46,"Little Owl","Athene noctua","#b0ae00","avian","https://media.birdweather.com/species/46/LittleOwl-standard-f2cff2a2b2f38eb0d9b119ca1cb31433.jpg","https://media.birdweather.com/species/46/LittleOwl-thumbnail-dc4a3ab0d115888ba2e987e8e30a8fa3.jpg","https://media.birdweather.com/species/46/LittleOwl-png200-44c03d9b44930f908f8bdcad52112c56.png","YgkGFwL0XnOqRJabZGu2eXh3Z9+4h7AJ",9692800372,"https://media.birdweather.com/soundscapes/6891/6891-20260318-191619.flac",0,3,"birdnetpi"
