hour,n_detections,n_species
0,1,1
1,8,2
5,22,2
6,113,4
7,188,12
8,127,12
9,137,11
10,126,11
11,94,7
12,94,8
13,101,8
14,71,6
15,137,9
16,73,10
17,108,8
18,40,11
19,6,2
22,5,3
23,2,2
